Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
1506,0,A,16.4,23.8,0,2004-08-15T00:00:00Z,2004,SE monsoon
1509,1,A,16.8,25.8,0,2004-12-19T00:00:00Z,2004,NW monsoon
1356,1,S,17.3,26.1,0,2004-12-30T00:00:00Z,2004,NW monsoon
1494,1,A,16.3,23.9,1,2005-01-02T00:00:00Z,2005,NW monsoon
3445,1,FL,15.6,26.8,1,2005-06-05T00:00:00Z,2005,SE monsoon
3448,1,FL,16.2,25.9,1,2005-06-07T00:00:00Z,2005,SE monsoon
3449,0,FL,12.8,23.8,1,2005-06-10T00:00:00Z,2005,SE monsoon
3450,0,FL,13.9,24.4,1,2005-06-10T00:00:00Z,2005,SE monsoon
3451,0,FL,14.0,24.2,1,2005-06-12T00:00:00Z,2005,SE monsoon
3457,1,FL,15.0,25.2,1,2005-06-14T00:00:00Z,2005,SE monsoon
1437,0,A,15.5,24.2,0,2005-06-15T00:00:00Z,2005,SE monsoon
3455,0,FL,14.0,23.7,1,2005-06-15T00:00:00Z,2005,SE monsoon
3461,0,FL,15.0,23.9,1,2005-06-15T00:00:00Z,2005,SE monsoon
3462,0,FL,15.0,24.4,1,2005-06-15T00:00:00Z,2005,SE monsoon
3458,1,OFL,15.0,27.0,1,2005-06-17T00:00:00Z,2005,SE monsoon
3459,1,FL,15.5,26.8,1,2005-06-17T00:00:00Z,2005,SE monsoon
3460,1,FL,14.9,26.2,1,2005-06-17T00:00:00Z,2005,SE monsoon
1501,0,A,16.6,24.5,0,2005-07-13T00:00:00Z,2005,SE monsoon
1543,1,A,15.5,25.1,1,2005-07-13T00:00:00Z,2005,SE monsoon
3489,1,OFL,15.9,26.1,1,2005-07-13T00:00:00Z,2005,SE monsoon
3490,0,OFL,14.8,25.1,1,2005-07-13T00:00:00Z,2005,SE monsoon
1523,1,A,18.1,25.9,0,2005-07-14T00:00:00Z,2005,SE monsoon
3488,0,OFL,15.6,24.2,1,2005-07-14T00:00:00Z,2005,SE monsoon
3491,0,FL,14.9,23.4,0,2005-07-17T00:00:00Z,2005,SE monsoon
3497,0,OFL,15.0,24.1,0,2005-07-18T00:00:00Z,2005,SE monsoon
3500,0,OFL,14.9,24.0,0,2005-07-18T00:00:00Z,2005,SE monsoon
1504,1,A,16.5,27.4,0,2005-07-19T00:00:00Z,2005,SE monsoon
3498,0,FL,13.9,24.1,1,2005-07-19T00:00:00Z,2005,SE monsoon
1536,0,A,12.2,23.7,1,2005-07-26T00:00:00Z,2005,SE monsoon
3499,0,FL,14.1,24.5,1,2005-07-26T00:00:00Z,2005,SE monsoon
3503,0,FL,14.5,24.6,1,2005-07-26T00:00:00Z,2005,SE monsoon
3504,1,CH,15.6,25.9,0,2005-07-26T00:00:00Z,2005,SE monsoon
3501,0,OFL,14.9,24.0,1,2005-07-27T00:00:00Z,2005,SE monsoon
3502,0,OFL,15.4,24.0,1,2005-07-27T00:00:00Z,2005,SE monsoon
3505,0,OFL,14.1,23.6,1,2005-07-28T00:00:00Z,2005,SE monsoon
1587,1,A,17.5,25.7,0,2005-07-29T00:00:00Z,2005,SE monsoon
3506,0,OFL,14.9,23.8,1,2005-07-29T00:00:00Z,2005,SE monsoon
3509,0,J,13.4,24.5,1,2005-07-30T00:00:00Z,2005,SE monsoon
1523,1,A,18.0,26.6,0,2005-08-01T00:00:00Z,2005,SE monsoon
3511,1,OFL,15.9,25.7,1,2005-08-01T00:00:00Z,2005,SE monsoon
3515,1,OFL,15.8,25.2,1,2005-08-01T00:00:00Z,2005,SE monsoon
3512,0,CH,14.5,23.8,0,2005-08-02T00:00:00Z,2005,SE monsoon
